Highway to Hell,AC/DC,Classic Rock N'Roll,0.35,0.95,poignant
Hotel California,The Eagles,Classic Rock N'Roll,0.625,0.55,hypnotic
Stairway to Heaven,Led Zeppelin,Classic Rock N'Roll,0.25,0.42,intimate
My Generation,The Who,Classic Rock N'Roll,0.46,0.845,groovy
All Along the Watchtower,Jimi Hendrix,Classic Rock N'Roll,0.8,0.84,lively
Rock and Roll All Nite,Kiss,Classic Rock N'Roll,0.66,0.875,funky
Smells Like Teen Spirit,Nirvana,Classic Rock N'Roll,0.5,0.98,energetic
Purple Rain,Prince,Classic Rock N'Roll,2,2,none
Jailhouse Rock,Elvis Presley ,Classic Rock N'Roll,0.26,0.88,angry
Beast of Burden,The Rolling Stones,Classic Rock N'Roll,0.525,0.89,warm
Billie Jean,Michael Jackson,Pop,0.55,0.2,dreamy
Yeah,Usher,Pop,0.55,0.82,spiritual
Hollaback Girl,Gwen Stefani,Pop,0.55,0.82,spiritual
Like a Prayer,Madonna,Pop,0.26,0.88,angry
...Baby One More Time ,Britney Spears,Pop,0.85,0.8,whimsical
It's Gonna Be Me,*NSYNC,Pop,0.9,0.825,bouncy
Everybody,Backstreet Boys,Pop,0.66,0.875,funky
Don't Stop Believing,Journey,Pop,0.87,0.41,futuristic
Genie in a Bottle,Christina Aguilera,Pop,0.875,0.67,elegant
Call Me Maybe,Carly Rae Jepsen,Pop,0.56,0.275,carefree
Iron Man,Black Sabbath,Heavy Metal,0.33,0.73,rebellious
Enter Sandman,Metallica,Heavy Metal,0.45,0.925,intense
Welcome to the Jungle,Guns N' Roses,Heavy Metal,0.26,0.88,angry
Angel of Death,Slayer,Heavy Metal,0.26,0.88,angry
Blackout,Scorpions,Heavy Metal,0.66,0.875,funky
Mind Over Metal,Raven,Heavy Metal,0.525,0.89,warm
Under the Blade,Twisted Sister,Heavy Metal,0.55,0.82,spiritual
Screaming for Vengeance,Judas Priest,Heavy Metal,0.35,0.95,poignant
At War With Satan,Venom,Heavy Metal,0.3,0.63,manic
The Number of the Beast,Iron Maiden,Heavy Metal,0.35,0.95,poignant
Thrift Shop,Macklemore,Rap,2,2,none
Hot Boyz,Missy Elliott,Rap,0.9,0.825,bouncy
Big Poppa,The Notorious B.I.G.,Rap,0.8,0.66,epic
California Love,2Pac,Rap,0.775,0.876,fun
Drop It Like It's Hot,Snoop Dogg,Rap,0.625,0.55,hypnotic
Holy Grail,Jay Z,Rap,0.8,0.84,lively
